COADREAD	Labels	B:MUTA:nons:TP53::	B:MUTA:COMP:MLH1::	N:GEXP::MLH1:4292:	N:METH:cg00893636:MLH1:TssU2:Island	N:METH:cg04274487:RAB31:TssD133:Island	B:MUTA:LOF:MLH1::	N:METH:cg03414321:HCK:TssD21:Island	B:MUTA:COMP:SFRP5::	N:GEXP::GNAS:2778:	N:GEXP::CCND2:894:	N:GEXP::RNF128:79589:	N:METH:cg16884569:RASSF2:TssD656:Island	N:METH:cg23764381:ATRNL1:TssU438:Island	N:METH:cg10182321:STK32B:TssU777:Shore	N:GEXP::GPX2:2877:	N:METH:cg11476211:PRKCE:TssU216:Island	N:METH:cg01888411:ABTB2:TssD1263:Island	N:GEXP::CXCL14:9547:	N:METH:cg02982690:BHLHE22:TssU79:Shore	N:GEXP::EPM2AIP1:9852:	N:METH:cg19187185:RRAGD:TssU507:Shore	N:METH:cg16580737:MME:TssU57:Island	N:METH:cg09542745:SFRP5:TssD546:Island	N:GEXP::ATP5A1:498:	N:GEXP::PRR15:222171:	N:METH:cg18416881:AKR1B1:TssD28:Island	N:METH:cg02136132:KCNK13:TssU219:Island	N:METH:cg09979256:RSPO3:TssU80:Island	N:GEXP::DDX27:55661:	N:METH:cg19803671:UBE2E2:TssD600:Shore	N:GEXP::SLC25A3:5250:	N:METH:cg10073723:BMPER:TssU311:Island	N:METH:cg13436799:LRP2:TssD48:Island	B:MUTA:LOF:CUL1::	N:METH:cg25179291:FNBP1:TssU265:Island	N:METH:cg24009736:B4GALNT1:TssD89:Island	N:METH:cg07744166:WASF3:TssU357:Shore	N:METH:cg22188495:PRICKLE1:TssU308:Shore	N:METH:cg09185773:WASF3:TssD885:Shore	N:GEXP::TCF7:6932:	N:METH:cg19237753:SIRPA:TssD272:Shore	N:METH:cg25924032:BMS1:TssD99:Island	N:METH:cg05702737:WNT10A:TssD211:Island	N:METH:cg09470640:PTPRO:TssD316:Shore	N:METH:cg17347389:TRIM9:TssD134:Shore	N:METH:cg06150468:BATF3:TssU757:Shore	N:METH:cg23096644:SGCE:TssD777:Shore	N:GEXP::C10orf99:387695:	N:METH:cg18762485:CH25H:TssU93:Shore	N:METH:cg25917510:HOXC8:TssU3:Island	N:GEXP::LRP4:4038:	N:GEXP::PBK:55872:	I:CNVR::METTL16:79066:	B:MUTA:LOF:KCNQ5::	N:GEXP::TPD52L2:7165:	N:GEXP::LRP1:4035:	N:METH:cg03770147:KLF7:TssD460:Shore	N:METH:cg22967284:SLIT1:TssU214:Island	N:METH:cg18244915:ZNF570:TssU35:Shore	N:GEXP::EN2:2020:	N:GEXP::CACNA2D2:9254:	N:METH:cg08228917:LHFP:TssD247:Island	N:METH:cg08478189:KLF7:TssD4:Shore	N:METH:cg09339301:QKI:TssD18:Island	N:METH:cg01803238:BCL2:TssD20:Island	N:GEXP::QPCT:25797:	N:GEXP::APOL3:80833:	N:MIR::hsa-miR-6715b-3p:Corrected:	N:METH:cg07806164:UBE2E2:TssD34:Island	N:GEXP::KDSR:2531:	N:GEXP::AXIN2:8313:	N:GEXP::NDUFC2:4718:	N:GEXP::FDFT1:2222:	B:MUTA:COMP:WWC1::	B:MUTA:nons:MACF1::	N:METH:cg17885062:NRCAM:TssD349:Island	N:METH:cg03884783:ZNF569:TssD114:Island	I:CNVR::ZNF396:252884:	I:CNVR::CDH19:28513:	N:GEXP::PXMP4:11264:	N:MIR::hsa-miR-34c-5p:Corrected:	N:MIR::hsa-miR-212-3p:Corrected:	N:MIR::hsa-miR-625-5p:Corrected:	N:MIR::hsa-miR-195-3p:Corrected:	N:METH:cg15628498:ONECUT1:TssD374:Island	N:METH:cg15205507:ZNF331:TssD44:Island	I:CNVR::PIK3C3:5289:	I:CNVR::ZNF397:84307:	I:CNVR::C18orf21:83608:	N:METH:cg02407785:PCDH9:TssD293:Shore	N:GEXP::POFUT1:23509:	N:GEXP::ZMYND8:23613:	I:CNVR::YTHDF2:51441:	N:METH:cg03100040:ZNF345:TssD37:Island	B:MUTA:nons:ACVR2A::	I:CNVR::LOXHD1:125336:	N:METH:cg13843773:C4orf22:TssU64:Shore	I:CNVR::DSC3:1825:	N:GEXP::PLAGL2:5326:	I:CNVR::RNF133:168433:	N:METH:cg22634689:TMEM121:TssU80:Island	I:CNVR::ZNF24:7572:	N:GEXP::MOCS3:27304:	N:GEXP::KCNRG:283518:	N:GEXP::INTS10:55174:	I:CNVR::BCL2:596:	I:CNVR::SLC25A52:147407:	I:CNVR::CELF4:56853:	I:CNVR::PCAT18:728606:	I:CNVR::SMAD7:4092:	I:CNVR::CDH2:1000:	N:METH:cg26829131:HOXC-AS1:TssD30:Island	N:GEXP::PAX9:5083:	N:GEXP::ST6GAL1:6480:	N:GEXP::RPS27A:6233:	I:CNVR::SERPINB7:8710:	N:GEXP::PIGU:128869:	N:GEXP::GNG4:2786:	N:GEXP::LYG1:129530:	N:GEXP::YBX1:4904:	I:CNVR::CSTF2T:23283:	I:CNVR::CDH13:1012:	N:MIR::hsa-miR-3131:Corrected:	N:MIR::hsa-miR-206:Corrected:	N:MIR::hsa-miR-450a-5p:Corrected:	N:GEXP::OCRL:4952:	N:GEXP::DEFA5:1670:	B:MUTA:HOTS:PIK3CA:pE545:	N:GEXP::RNF160:26046:	N:GEXP::RPL37:6167:	N:GEXP::RPL12:6136:	B:MUTA:LOF:SOX9::	N:MIR::hsa-miR-128-1-5p:Corrected:	N:MIR::hsa-miR-92a-1-5p:Corrected:	N:MIR::hsa-miR-339-3p:Corrected:	N:GEXP::R3HDML:140902:	N:MIR::hsa-miR-6718-5p:Corrected:	I:CNVR::SNORA37:677819:	I:CNVR::RAB9BP1:9366:	B:MUTA:COMP:KANSL1::	N:MIR::hsa-miR-491-5p:Corrected:	N:MIR::hsa-miR-33b-5p:Corrected:	I:CNVR::GALNT13:114805:	B:MUTA:HOTS:PCBP1:pL102:	B:MUTA:HOTS:SMAD2:pS464:	B:MUTA:nons:WWC1::	B:MUTA:HOTS:KRAS:pA146:	I:CNVR::OC90:729330:	I:CNVR::RBFOX3:146713:	I:CNVR::CTB-118N6.3:101927233:	I:CNVR::LINC00659:100652730:	I:CNVR::ZNF716:441234:	I:CNVR::RP11-452N4.1:286094:	I:CNVR::SYN3:8224:	I:CNVR::GMDS:2762:	N:GEXP::CYP51A1:1595:	N:GEXP::LCN15:389812:	N:MIR::hsa-miR-323b-3p:Corrected:
TCGA-AA-A024	COADREAD_3	0	0	432.3	0.039406000000000004	0.1921	0	0.018218	0	11074.0	5865.8	1813.9	0.44248999999999994	0.025536	0.48933000000000004	15684.0	0.029819	0.13246	4235.1	0.51826	625.8	0.029934	0.5868899999999999	0.029862	12435.0	4835.7	0.062116	0.19493	0.41541999999999996	1217.1	0.067495	7947.8	0.025358000000000002	0.12013	0	0.026914999999999998	0.44045	0.23525	0.018612	0.13712	1038.5	0.42025	0.018511	0.10084	0.34031999999999996	0.046341	0.048055	0.19645	2971.3	0.028742	0.031708999999999994	2158.3	239.61	0	1	1998.1	11507.0	0.030251999999999998	0.25824	0.56203	0.11467999999999999	329.25	0.041351	0.03634	0.065273	0.017597	2489.4	176.33	1.6629	0.043891	1080.5	6295.3	2519.4	5853.7	0	0	0.024649	0.32579	0	0	418.02	0.7239399999999999	1.0439	11.265	2.0011	0.032158	0.8584799999999999	0	0	0	0.26618	1923.5	1373.3	0	0.023503	0	0	0.031245	0	893.26	0	0.025983999999999997	0	186.63	10.235	1506.6	0	0	0	0	0	0	0.24689	68.98899999999999	808.53	7387.6	0	672.02	25.947	2.0877	5869.1	0	0	-0.29578000000000004	-0.21019000000000002	4.4809	1279.7	1823.0	0	538.83	8320.3	18154.0	0	3.2288	2.6298	3.341	1.7903	-0.082071	0	0	0	1.9967	0.35120999999999997	0	0	1	0	0	0	0	0	0	0	0	0	0	3183.7	8.3176	0.46866
TCGA-AA-A02E	COADREAD_2	1	0	546.21	0.043733999999999995	0.5515100000000001	0	0.017728	0	14040.0	3546.9	1388.2	0.61307	0.024162	0.16752999999999998	12492.0	0.027949	0.031056999999999998	2679.7	0.1503	650.75	0.033132	0.84816	0.10557000000000001	5798.1	3013.7	0.86635	0.032992	0.27164	1765.0	0.056801	7922.4	0.024721	0.045066	0	0.027655000000000002	0.34099	0.59105	0.28162	0.52288	1569.3	0.21881	0.077652	0.043283999999999996	0.44913000000000003	0.052596000000000004	0.13005	0.29079	239.8	0.026981	0.11832999999999999	3599.2	307.26	-1	1	2765.4	6295.7	0.031310000000000004	0.047403	0.23143000000000002	81.719	43.221000000000004	0.034518	0.034319	0.78876	0.024188	1107.1	134.67	1.8087	0.05114	827.33	7025.3	2013.1	4191.7	0	0	0.043641	0.32743	-1	-1	448.16	2.4869	5.6147	8.7578	7.957000000000001	0.75085	0.89487	-1	-1	-1	0.45832	1831.1	925.19	-1	0.023234	0	-1	0.038541000000000006	-1	1566.6	0	0.033128	-1	335.1	19.616	981.43	-1	-1	-1	-1	-1	-1	0.3455	55.155	838.3	14385.0	-1	1074.9	426.37	4.6334	7973.0	0	-1	1.9974	-0.21019000000000002	5.8883	900.95	931.97	1	675.41	19745.0	18564.0	0	6.2726	3.2758	5.8089	9.0404	0.55893	-1	-1	0	2.5205	2.286	0	0	0	0	0	1	-1	-1	1	0	1	1	1	4775.0	8.0796	4.2309
TCGA-AA-A02F	COADREAD_1	1	0	501.21	0.053347000000000006	0.040284	0	0.020856	0	24470.0	5560.1	871.35	0.031626999999999995	0.032909	0.016855000000000002	13156.0	0.032533	0.034707999999999996	1897.7	0.023704	643.51	0.030088	0.07872	0.049961	6486.4	2318.0	0.069882	0.036498	0.030177999999999996	2810.7	0.06641699999999999	7724.4	0.028413	0.025793	0	0.029855	0.056514999999999996	0.029419999999999998	0.030844999999999997	0.09447799999999999	2314.4	0.026983	0.023949	0.031918	0.037047000000000004	0.047376999999999996	0.048992	0.039068	295.66	0.031029	0.032922	2649.2	1184.0	-1	1	3608.9	4949.5	0.031014	0.0335	0.023381	0.11467999999999999	157.59	0.042164	0.034881999999999996	0.037241	0.14371	923.43	81.96700000000001	1.4046	0.041234	1159.1	2331.6	2061.0	5225.8	0	0	0.041828	0.037663	-1	-1	405.93	2.1434	2.2299	2.0373	2.8991	0.024036000000000002	0.84915	-1	-1	-1	0.018386000000000003	3971.6	1610.8	-1	0.020178	1	-1	0.07484400000000001	-1	2784.8	0	0.017697	-1	478.87	10.821	1958.6	-1	-1	-1	-1	-1	-1	0.029066	16.34	2315.8	8956.2	-1	885.59	1723.0	1.511	13929.0	-1	0	4.8293	-0.21019000000000002	17.43	880.36	30.947	0	598.77	17363.0	16459.0	0	1.8523	11.118	5.4671	10.847000000000001	0.24199	-1	0	0	3.1956	1.4339	0	0	0	0	0	0	-1	0	1	0	0	-1	0	3570.4	9.1989	2.5995
TCGA-AA-A02H	COADREAD_1	1	0	304.52	0.055515999999999996	0.23815999999999998	0	0.14578	0	21367.0	6305.0	1599.9	0.7368	0.037002	0.081629	6706.2	0.029563	0.064467	7141.3	0.043106	437.23	0.037526	0.075416	0.082983	4260.1	4954.3	0.62469	0.061291	0.049698	3506.3	0.06664099999999999	5419.1	0.022208000000000002	0.031492	0	0.028288999999999998	0.50566	0.70803	0.039969	0.44375	2134.8	0.029542000000000002	0.017821	0.059047	0.36680999999999997	0.059636	0.058330999999999994	0.2611	1084.6	0.030773000000000002	0.035289	751.24	255.5	-1	1	4085.5	8130.7	0.037398	0.041713	0.033431	16.844	72.152	0.045935000000000004	0.32821	0.1055	0.09916699999999999	318.94	71.91199999999999	2.5007	0.045026	1238.0	4054.9	2237.7	2032.2	0	0	0.040624	0.050793	-1	-1	825.62	0.040948000000000005	5.959	5.9535	3.4997	0.025031	0.077846	-1	-1	-1	0.042461	6853.7	1257.1	-1	0.048253	0	-1	0.059137999999999996	-1	6629.3	1	0.017143000000000002	-1	543.81	27.464000000000002	1263.2	-1	-1	-1	-1	-1	-1	0.15602	0.096745	1627.8	9070.1	-1	1203.3	2377.3	3.8954	6588.3	0	0	1.6351	0.11897999999999999	3.6093	1092.8	801.08	0	881.62	16511.0	13049.0	0	4.6795	25.212	11.459000000000001	17.553	-0.082071	-1	-1	0	1.4207	3.7499	0	0	0	0	0	1	0	-1	1	1	1	0	1	2964.7	26.713	2.3536
TCGA-AA-A02O	COADREAD_3	0	0	432.93	0.038932999999999995	0.62739	0	0.5110600000000001	1	16047.0	4537.1	1741.9	0.5946	0.22016999999999998	0.35625	32558.0	0.029836	0.046898	1550.3	0.7964600000000001	247.6	0.032934	0.85926	0.8114600000000001	7190.5	1588.8	0.8311	0.81939	0.8144	1592.1	0.064831	11542.0	0.026398	0.75035	0	0.036851	0.38159	0.68333	0.47306000000000004	0.7660600000000001	1003.8	0.80086	0.46636000000000005	0.7650399999999999	0.7550399999999999	0.41544	0.7692	0.8249	862.98	0.03735	0.030891000000000002	3629.8	450.6	0	1	3190.6	5878.4	0.033554	0.46835	0.88376	0.11467999999999999	470.45	0.65462	0.0321	0.7862899999999999	0.06105700000000001	197.77	337.75	1.6686	0.049428	656.38	4313.6	1542.6	5862.0	0	0	0.78414	0.88628	0	-1	552.03	0.89176	3.8309	19.723	-0.17347	0.71863	0.8967700000000001	-1	0	0	0.66169	2512.1	2073.1	0	0.46853	0	-1	0.046579	0	1656.1	1	0.30530999999999997	0	304.44	2.2912	1892.2	-1	0	-1	0	0	0	0.58213	121.22	2859.5	9210.7	-1	1265.2	1025.6	10.615	8581.1	0	0	0.37091999999999997	0.59258	3.9101	1551.1	3551.2	1	264.26	19022.0	30021.0	0	6.9968	12.025	11.294	4.0771	0.65895	-1	0	0	2.1639	3.0227	0	0	0	0	0	1	0	0	1	1	1	0	-1	1863.0	110.43	0.23141
TCGA-AA-A02Y	COADREAD_3	0	0	493.35	0.046991000000000005	0.70014	0	0.31594	1	8994.4	7092.7	2602.3	0.65035	0.046758999999999995	0.19477	38432.0	0.07445800000000001	0.07894	1097.0	0.49222	208.49	0.030236000000000002	0.72823	0.71486	14553.0	2610.9	0.68823	0.77274	0.80192	1805.2	0.14958	20182.0	0.022126	0.051472000000000004	0	0.026723	0.33371999999999996	0.54164	0.21705	0.6693899999999999	1280.6	0.055031	0.53728	0.35808	0.55069	0.53505	0.061863999999999995	0.25438	2782.5	0.098833	0.034168000000000004	128.14	526.38	0	1	2512.7	5305.4	0.031755	0.64764	0.8269700000000001	0.0	163.45	0.68538	0.028912	0.7591	0.094939	1133.8	479.19	2.8723	0.045402	1122.3	3792.5	2420.8	7721.6	0	0	0.55028	0.8336899999999999	0	0	486.92	1.4183	2.7123	7.8495	0.85496	0.67878	0.85016	0	0	0	0.17587	3066.5	1164.3	0	0.044841000000000006	0	0	0.048356	0	2045.5	1	0.091074	0	272.84	8.3526	1507.9	0	0	0	0	0	0	0.29197	32.604	3270.7	13755.0	0	501.5	16.730999999999998	3.003	12180.0	0	1	3.5435	0.44963000000000003	2.8966	1914.2	2946.4	1	376.23	23108.0	22897.0	0	6.6434	7.2885	13.68	4.718999999999999	0.53238	0	0	0	0.4342	1.2274	0	0	0	0	0	0	0	0	1	1	0	0	0	5933.9	1.287	-0.061832000000000005
TCGA-AA-A03F	COADREAD_3	0	0	406.18	0.051023	0.6332899999999999	0	0.074656	1	14751.0	4529.4	780.77	0.57557	0.27641	0.6725800000000001	12985.0	0.032139	0.064234	3126.1	0.6496	315.16	0.039011000000000004	0.80396	0.69524	9768.9	4302.3	0.73874	0.71425	0.7793399999999999	1534.9	0.06843300000000001	7235.7	0.025209	0.75425	0	0.030666000000000002	0.68881	0.6571100000000001	0.5419	0.054689999999999996	1145.5	0.5665600000000001	0.49194	0.56928	0.6035699999999999	0.7036899999999999	0.48746000000000006	0.72442	1796.1	0.19499	0.030629000000000003	2267.3	115.01	0	1	2196.5	18796.0	0.033208	0.4326	0.7462	0.11467999999999999	138.86	0.049083999999999996	0.031549	0.74945	0.057346	651.3	212.35	0.82786	0.064665	383.55	5058.2	1199.5	7911.2	1	0	0.62625	0.81242	0	0	412.85	0.040948000000000005	1.9549	17.45	2.9243	0.65654	0.8624299999999999	0	0	0	0.55301	985.86	2435.1	0	0.83089	0	0	0.043405	0	775.14	0	0.39933	0	226.97	0.17363	808.93	0	0	0	0	0	0	0.46491000000000005	98.75399999999999	660.93	1798.5	0	421.71	2.1148	6.9568	11198.0	0	0	2.5735	0.21902	7.3035	671.56	102.75	1	89.209	9521.1	20999.0	0	5.8458	4.6812	3.2838	1.4636	0.32394	0	0	0	2.3506	1.0136	0	0	0	1	0	0	-1	0	0	0	0	0	0	2218.0	1345.3	0.66815
TCGA-AA-A03J	COADREAD_2	1	0	337.25	0.047072	0.032549	0	0.26029	0	24439.0	2073.8	903.44	0.62293	0.042698	0.044308999999999994	15689.0	0.033761	0.088446	1198.4	0.49858	298.81	0.041871	0.73046	0.14295	8434.5	1935.6	0.63726	0.038248000000000004	0.5153300000000001	3572.8	0.060947	8833.6	0.025588	0.23314000000000001	0	0.027460000000000002	0.59335	0.35645	0.037122	0.11947	2144.7	0.42357	0.41562	0.040545	0.40489	0.11529	0.060087	0.1941	1650.0	0.027574	0.032941000000000005	707.13	167.42	-1	1	7393.0	11461.0	0.035101	0.28885	0.40521999999999997	19.678	18.157	0.049472	0.040761	0.7045899999999999	0.083415	180.7	446.35	1.2505	0.043919	750.6	2591.4	1426.7	1652.0	0	0	0.47847	0.68853	-1	-1	1051.9	1.3341	3.5891	7.8742	1.9196	0.39728	0.6311100000000001	-1	-1	-1	0.58008	4375.1	3942.6	-1	0.03996	0	-1	0.048388	-1	3556.8	1	0.29591	-1	885.96	22.324	852.69	-1	-1	-1	-1	-1	-1	0.09326799999999999	5.406000000000001	3756.9	7364.5	-1	1973.5	28.846	8.6328	10632.0	0	1	2.7865	-0.21019000000000002	13.365	949.31	32.895	1	244.15	27065.0	19508.0	0	15.209000000000001	28.822	21.725	18.583	-0.082071	-1	1	0	0.39300999999999997	5.2410000000000005	0	0	0	0	0	0	0	1	1	1	0	-1	1	708.05	5.3671	7.0077
TCGA-AD-5900	COADREAD_4	0	1	101.66	0.46079	0.5437	1	0.48568999999999996	1	14595.0	5344.4	1675.3	0.42844	0.5602600000000001	0.16775	20775.0	0.46939	0.4473	350.1	0.5405399999999999	102.18	0.6198899999999999	0.60018	0.41635	15035.0	1068.0	0.6167199999999999	0.39866	0.56817	1299.8	0.5636800000000001	14593.0	0.35144000000000003	0.62498	0	0.61682	0.58772	0.485	0.44143000000000004	0.12218	838.17	0.057723000000000003	0.35598	0.57034	0.5421699999999999	0.51991	0.45813000000000004	0.44902	1.556	0.39094	0.56684	72.531	1278.0	0	1	2480.8	4729.2	0.61816	0.42261000000000004	0.30138000000000004	0.0	11.93	0.51958	0.5361600000000001	0.52168	0.36719	72.61399999999999	1769.2	0.0	0.48778	2058.6	313.97	1353.7	11625.0	0	0	0.50846	0.49705	1	1	359.96	1.5132	7.3139	4.0352	2.3959	0.40102	0.47639	1	1	1	0.45192	2394.7	1213.2	0	0.036792	0	1	0.31701999999999997	1	1064.8	0	0.5302600000000001	1	287.86	9.527999999999999	1813.8	1	1	1	1	1	1	0.5957899999999999	43.568999999999996	2417.0	12052.0	1	1391.1	14.523	7.7801	13911.0	0	0	2.7742	0.0	6.5573	647.3	0.0	0	138.49	19336.0	14873.0	0	4.6657	2.3959	5.1702	2.5934	1.0088	1	0	0	0.3783	2.9003	0	0	0	0	0	1	0	0	1	0	1	0	0	3877.1	0.0	0.2522
TCGA-AD-6548	COADREAD_3	1	0	546.22	0.06349400000000001	0.43858	0	0.07065199999999999	1	14425.0	2595.0	2004.3	0.45148999999999995	0.065309	0.32386	11904.0	0.48846000000000006	0.067426	125.83	0.39492	329.28	0.062308	0.093639	0.32999	12598.0	2526.0	0.5042800000000001	0.33161	0.5209	2452.1	0.13495	8864.5	0.079378	0.5536800000000001	0	0.044113	0.14831	0.082639	0.058614	0.24143	618.94	0.35877	0.21202	0.09020700000000001	0.062972	0.077476	0.076017	0.30389	1931.2	0.21823	0.048945999999999996	1261.3	1002.1	-1	1	3741.8	7975.9	0.064884	0.041086000000000004	0.37487	99.68299999999999	29.006	0.053690999999999996	0.054151	0.50354	0.042991	762.33	815.03	0.68571	0.084164	1408.6	6369.6	1982.2	8819.5	0	0	0.41091000000000005	0.4532	0	0	424.06	1.7828	8.2285	5.0743	1.6457	0.07616	0.22011999999999998	0	0	0	0.19658	4818.7	1900.5	0	0.30906999999999996	0	0	0.035094	0	3014.2	0	0.13273	0	366.05	5.8993	1541.4	0	0	0	0	0	0	0.12730999999999998	29.415	2241.7	12123.0	0	1108.8	1424.6	12.255999999999998	15322.0	0	0	3.1543	0.0	4.3885	1486.3	1916.9	0	521.7	12468.0	13058.0	0	6.9943	4.9371	9.8742	4.4939	0.13714	0	0	0	1.6457	4.9371	-1	0	0	0	0	1	0	0	1	1	1	0	0	3400.7	16.75	5.8971
TCGA-AD-6888	COADREAD_1	1	0	556.63	0.046511000000000004	0.068561	0	0.029245999999999998	0	22096.0	7628.7	2641.3	0.04451	0.04067	0.067535	26954.0	0.028306	0.088322	834.01	0.042664999999999995	186.78	0.040935	0.09262100000000001	0.037649	8864.1	2236.9	0.46318000000000004	0.045795999999999996	0.030519	5178.2	0.10172	10847.0	0.029266000000000004	0.045557	0	0.028204000000000003	0.062609	0.30080999999999997	0.096193	0.079625	1389.9	0.038689999999999995	0.16774	0.07376	0.35283000000000003	0.054341999999999994	0.06141	0.42877	2291.5	0.039975	0.044705	1572.5	439.29	-1	0	6244.0	9657.3	0.07096000000000001	0.031484	0.047525	1.4853	10.397	0.044764	0.052204999999999994	0.077676	0.039784	363.16	223.17	0.34403	0.095975	642.03	6654.1	2916.4	3262.5	0	0	0.16898	0.053779999999999994	-1	-1	1239.5	1.3761	8.6008	6.8806	2.0642	0.023926	0.083523	-1	-1	-1	0.036877	10084.0	2187.2	0	0.052499000000000004	0	-1	0.036833	-1	2708.5	1	0.069125	-1	594.88	6.3238	1298.2	-1	-1	-1	-1	-1	-1	0.0534	2.228	3317.9	16210.0	-1	2092.8	649.83	1.8567	10299.0	0	0	11.697000000000001	0.0	3.7843	1188.6	0.0	0	269.22	13312.0	11969.0	0	8.6008	9.6329	21.33	9.2833	0.68806	-1	0	0	1.3761	8.2568	1	0	0	0	0	1	1	0	1	1	1	0	0	6453.4	2.5993	2.4082
TCGA-AD-6889	COADREAD_4	0	1	26.625999999999998	0.7319399999999999	0.71975	1	0.83083	1	20737.0	5060.4	2158.7	0.67433	0.82184	0.7238899999999999	7259.1	0.12897999999999998	0.5719	991.29	0.84652	23.041	0.83455	0.82657	0.7331	17477.0	909.37	0.7621	0.75012	0.81581	773.17	0.77403	12400.0	0.67257	0.88631	0	0.77775	0.8300799999999999	0.64742	0.68378	0.847	262.16	0.77992	0.40269	0.77725	0.77169	0.81204	0.6937300000000001	0.85824	144.91	0.47857	0.72634	2646.2	749.1	0	1	3480.3	2345.1	0.6956	0.40465999999999996	0.78105	0.0	13.312999999999999	0.85139	0.79703	0.7630899999999999	0.48768	1313.4	338.97	1.556	0.6531399999999999	1284.2	1381.0	1495.7	10526.0	0	0	0.7500600000000001	0.8321200000000001	0	0	296.98	0.9336200000000001	5.4461	14.470999999999998	0.9336200000000001	0.62095	0.83588	0	0	0	0.7582899999999999	1692.3	817.72	0	0.85283	0	0	0.7417100000000001	0	981.57	0	0.83636	0	68.1	131.01	1918.6	0	0	0	0	0	0	0.5395800000000001	45.571000000000005	934.97	14876.0	0	829.49	2.0481	39.426	11945.0	0	0	0.0	0.46681000000000006	3.2677	567.33	23.553	0	196.11	23179.0	20539.0	0	4.2013	2.9565	4.8237	1.5361	0.0	0	0	0	2.0229	1.556	0	0	0	0	0	0	0	0	0	0	0	0	-1	5540.7	13.312999999999999	1.8672
TCGA-AD-6890	COADREAD_2	0	0	818.56	0.059378999999999994	0.13874	0	0.042732	0	10326.0	5919.0	1104.0	0.38	0.032895999999999995	0.39571	12784.0	0.034681000000000003	0.058352	2093.4	0.047988	470.45	0.040087	0.27337	0.10882	8929.1	3862.3	0.086475	0.054876	0.49756999999999996	3040.8	0.090313	10245.0	0.028755000000000003	0.044215	0	0.062144000000000005	0.45265	0.049395999999999995	0.17672000000000002	0.23540999999999998	1248.2	0.29618	0.056458	0.111	0.046963	0.053524	0.058466	0.32811999999999997	2527.2	0.06105	0.049503	5635.4	645.39	-1	1	3095.2	11262.0	0.058919000000000006	0.043552999999999994	0.030497000000000003	10.047	154.85	0.052615999999999996	0.047666	0.082426	0.032553	3192.7	228.72	2.6114	0.086155	566.78	5755.4	2279.6	5024.2	0	0	0.045576	0.059363	-1	-1	423.17	1.1606	8.4146	7.8343	1.4508	0.02659	0.48208	-1	-1	-1	0.1083	4386.5	2044.3	-1	0.053925	0	-1	0.036297	-1	2546.7	1	0.1539	-1	290.19	7.1513	1401.3	-1	-1	-1	-1	-1	-1	0.098084	9.4563	1698.6	14220.0	-1	1175.5	99.291	4.1371	12495.0	0	0	4.0622	1.1606	9.8654	1335.7	165.49	1	268.91	17478.0	13447.0	0	15.088	9.2851	5.2228	4.1371	0.8704700000000001	-1	0	0	0.8704700000000001	2.0311	0	0	0	0	0	0	1	0	1	1	0	0	0	2737.0	10032.0	8.7047
TCGA-AD-6895	COADREAD_4	0	1	77.926	0.41588	0.4815	1	0.39385	1	14188.0	2304.7	826.49	0.50762	0.51426	0.35516	10537.0	0.030256	0.10542	55.729	0.32613000000000003	60.452	0.48562	0.62083	0.44015	9765.8	662.14	0.5626899999999999	0.44675	0.6030800000000001	1866.9	0.6389100000000001	9467.8	0.38178	0.55099	0	0.5015	0.59814	0.44068	0.51489	0.38558000000000003	502.98	0.31525	0.24735	0.57891	0.42838000000000004	0.53112	0.30551	0.51166	1.4168	0.28026999999999996	0.45798999999999995	238.91	517.62	0	1	3864.7	3440.1	0.5270199999999999	0.34118000000000004	0.52341	0.0	5.1951	0.065163	0.53262	0.06858600000000001	0.28210999999999997	110.51	1405.5	0.0	0.41376	1956.2	330.12	1645.4	5706.6	0	1	0.5072	0.62521	0	0	195.05	2.256	4.7376	4.7376	3.384	0.38331	0.58365	0	0	0	0.41623999999999994	1458.4	1161.3	0	0.62671	0	0	0.19591	0	495.89	0	0.62613	0	207.8	6.6214	1191.1	0	0	0	0	0	0	0.5179600000000001	67.536	485.5	8673.9	0	525.65	68.48100000000001	51.951	6894.4	0	0	1.5792	0.0	3.384	523.76	0.0	0	157.74	9961.4	9018.7	0	5.4144	4.512	6.0912	1.4168	0.6768	0	0	0	0.2256	0.9024	0	0	0	0	0	0	0	0	1	0	0	0	-1	2471.0	7.0842	5.4144
